,k1,k2,k3,k4
0,4.896273323575912e-06,4.590250319173274e-05,4.9006588537379995e-05,0.0006827271073035666
1,7.934970631511327e-06,4.933985073206047e-05,1.719643553447026e-05,0.0003795096966680368
2,1.4608909184114752e-06,5.428804247631986e-05,3.559579549618831e-05,0.0008585611398609848
3,6.139943031656639e-06,5.597936855442842e-05,6.915376517499819e-05,0.0006470510418098131
4,4.082376937503438e-06,6.911402020162462e-05,4.884770311594936e-05,0.000672187881402996
5,7.473469085735875e-07,6.88168915498939e-05,8.147090170036305e-05,0.0002783418096501718
6,8.582035346314617e-06,5.652482231114004e-05,7.462328666562987e-05,0.0005763519621057271
7,9.72021587329504e-06,5.728661850290234e-05,4.8213066950676943e-05,0.00046349708870515726
8,1.6615114926537073e-06,6.705260279988925e-05,9.126600048926755e-05,0.0003730269908786643
9,2.451678539982439e-07,2.8033299735956393e-05,8.471692848956852e-05,0.0008300981900089639
10,6.274801838592509e-06,9.117698571687689e-05,9.110750403448843e-05,0.0006267017560949959
11,8.606795495304886e-06,2.7044314726423495e-05,8.551951921196579e-05,0.0003295953181493263
12,5.062094249566157e-06,4.167449251624584e-05,1.0070602101686368e-05,0.0002685993182284417
13,8.563425239492227e-06,3.463115163207699e-05,4.09536395678292e-05,0.00031160801905206635
14,8.917928705179497e-06,5.674871188788632e-05,2.8626632971634796e-05,0.0004326278536675578
15,1.0964193451729895e-06,5.502906544523978e-05,7.674521089653861e-05,0.0007203472735992997
16,5.7277117469519976e-06,9.58238025199835e-05,5.70949778605403e-05,0.0008171851366799602
17,4.418451611867993e-06,6.04617154439433e-05,2.511820925533376e-05,0.0005843722791029025
18,8.364667217005338e-06,3.422339068513404e-05,6.043675085830033e-05,0.000999274494804668
19,6.220234286539209e-06,4.8911045729051655e-05,5.749108460471334e-05,0.000327584066905155
20,1.4484103813173013e-06,5.414147096023295e-05,7.773381052159229e-05,0.0009771685742536358
21,4.313360505090581e-06,3.9502973127559723e-05,9.067120450219899e-05,0.0002216050731895954
22,5.218870431830312e-06,4.095635074999908e-05,5.6873163667397725e-05,0.0008450700862564529
23,5.334186306775273e-06,3.371498334929981e-05,9.965434384440357e-05,0.0004686973164416535
24,4.822512511614744e-06,1.9953198711188217e-05,5.547375883699147e-05,0.0002106708693326015
25,1.752926901535791e-06,9.657702973873476e-05,3.831762646858577e-05,0.00072088278620081
26,9.674190286782956e-07,5.814011225411405e-05,5.512990381006079e-05,0.00015995341108354695
27,2.744577109036155e-06,3.1556093299944363e-06,7.058732430551436e-05,0.00011501041549341696
28,7.3603382792323506e-06,6.676550084267121e-05,8.598635223204082e-05,0.00015335648558274152
29,9.723518970843845e-06,2.170605168186477e-06,5.988390444003856e-05,0.000924843663711692
30,7.713312280758615e-06,7.911525737463296e-05,2.6496062049136315e-05,0.00032575114277951005
31,9.208682725850222e-06,2.6344690887167253e-05,4.779822149640789e-05,0.0004521135539899189
