,k1,theta1,k2,k3,k4
0,6.458491746807064e-07,0.904551699601982,2.5590815617011853e-05,6.949779427171675e-05,0.00035881619027684357
1,5.416089308321447e-06,0.7786494693654704,6.627279221408972e-05,2.8293094557336592e-05,0.00013235205874138157
2,8.39121563555314e-06,8.419784641683655,4.061909392545758e-05,2.714200355963179e-05,0.00022997693055911122
3,4.095509012181725e-06,7.5201794501904775,4.446011766727583e-05,6.051998671741743e-05,0.0008840781009930443
4,9.863908252124614e-06,1.1331970333740398,2.1338916540876104e-05,2.9941736720546307e-05,0.00034234666986405874
5,1.4335186122887341e-06,1.1669740293821067,4.702698310598817e-05,2.0664727928510194e-05,0.0007182530422582571
6,9.039407393381194e-06,8.784842846389187,3.661120482430445e-05,9.787473594975305e-05,0.0009222126038163532
7,8.341015782971477e-06,6.681489294078021,3.9191100618944286e-05,5.3073478777563065e-05,0.0002976012400885433
8,6.406335561565647e-06,3.264563994974984,2.382316064790359e-06,8.945202862028333e-05,0.0004070745082119368
9,5.569304723104814e-06,3.8556874766548384,9.72734090262209e-05,2.2175588126649815e-05,0.00022515840842160907
10,7.483292039591647e-06,1.5003453554204969,5.003529632430747e-06,2.803142405651367e-05,0.0006400176001791369
11,7.584609069066199e-06,2.024256079435361,3.9428241477702386e-05,2.0930201266219495e-05,0.00023040288395293797
12,2.4648255419167483e-06,2.411733147929411,4.052574501881632e-05,3.5676430531917383e-05,0.0006875338307792571
13,1.4207445634248876e-06,0.7471306214916326,4.63369391526568e-05,4.2712741541392025e-05,0.000585863894290801
14,6.573417376571214e-06,9.058154373600559,8.639418976376159e-05,6.681796356834777e-05,0.0003973200268963345
15,1.0843566357388949e-06,3.524021349871864,5.525638954813127e-05,5.99821005464609e-05,0.00017637400716619692
16,7.3484627711167895e-06,1.5266740386486417,8.040800354714341e-05,5.411390909596845e-05,0.0004458299257110018
17,7.198114353141385e-07,3.3254468114000493,1.8207766420463444e-05,2.0715644403867775e-05,0.0007304412820176748
18,3.0310182598301746e-06,0.3369408796347066,3.211388210655788e-05,6.927529571380707e-05,0.0006620860131677025
19,7.335120940616561e-06,5.524933652438634,3.313119077717567e-05,4.253316789731096e-05,0.0006609860848021365
20,5.331823875505188e-06,6.932095968130123,1.5864625869397943e-05,3.4870615512494356e-05,0.0007222626774606473
21,1.85306241636824e-06,4.98202339084106,2.859343124756763e-05,4.593810419849088e-05,0.0008770675557943765
22,8.177038600962841e-06,6.914119253885267,6.0073549128265014e-05,5.518625140487526e-05,0.0004845070756903461
23,9.050453686862799e-06,0.911035840663707,6.324470131997042e-05,1.05568281600867e-05,0.00074323844683916
24,7.912792856887247e-06,8.81745017804371,9.423206247937653e-05,5.035802544825233e-05,0.00020114900054398776
25,8.22451190208502e-06,4.778379961279534,1.0935842167681733e-05,3.864601803802426e-05,0.00021863110155888484
26,5.937019102854496e-06,2.609049593922203,1.34864267922349e-05,4.026074646052855e-05,0.0008380350308848045
